Date,Time,CO2
2024-11-13,06:01,487.00
2024-11-13,06:05:55,501.00
2024-11-13,06:11:02,479.00
2024-11-13,06:15:56,446.00
2024-11-13,06:20:59,460.00
2024-11-13,06:25:56,484.00
2024-11-13,06:31:03,476.00
2024-11-13,06:35:55,465.00
2024-11-13,06:40:59,473.00
2024-11-13,06:45:56,483.00
2024-11-13,06:51:02,465.00
2024-11-13,06:55:55,449.00
2024-11-13,07:01,458.00
2024-11-13,07:05:55,459.00
2024-11-13,07:11:01,461.00
2024-11-13,07:15:57,502.00
2024-11-13,07:21:01,496.00
2024-11-13,07:25:55,484.00
2024-11-13,07:31:02,490.00
2024-11-13,07:35:57,478.00
2024-11-13,07:41,480.00
2024-11-13,07:45:57,481.00
2024-11-13,07:51:03,479.00
2024-11-13,07:55:56,457.00
2024-11-13,08:01,468.00
2024-11-13,08:05:56,473.00
2024-11-13,08:11:02,457.00
2024-11-13,08:15:57,461.00
2024-11-13,08:21:02,474.00
2024-11-13,08:25:56,479.00
2024-11-13,08:31:02,452.00
2024-11-13,08:35:57,452.00
2024-11-13,08:41,498.00
2024-11-13,08:45:57,532.00
2024-11-13,08:51:04,510.00
2024-11-13,08:55:56,491.00
2024-11-13,09:01,476.00
2024-11-13,09:05:57,474.00
2024-11-13,09:11:03,484.00
2024-11-13,09:15:56,458.00
2024-11-13,09:21,458.00
2024-11-13,09:25:56,472.00
2024-11-13,09:31:02,459.00
2024-11-13,09:35:56,471.00
2024-11-13,09:41:01,487.00
2024-11-13,09:45:57,459.00
2024-11-13,09:51:03,474.00
2024-11-13,09:55:57,494.00
2024-11-13,10:01,471.00
2024-11-13,10:05:56,442.00
2024-11-13,10:11:03,437.00
2024-11-13,10:15:56,451.00
2024-11-13,10:21,436.00
2024-11-13,10:25:56,438.00
2024-11-13,10:31:02,458.00
2024-11-13,10:35:56,479.00
2024-11-13,10:41:01,476.00
2024-11-13,10:45:56,448.00
2024-11-13,10:51:02,438.00
2024-11-13,10:55:58,455.00
2024-11-13,11:01:02,450.00
2024-11-13,11:05:58,450.00
2024-11-13,11:11:05,454.00
2024-11-13,11:15:58,446.00
2024-11-13,11:21:02,460.00
2024-11-13,11:25:57,491.00
2024-11-13,11:31:04,501.00
2024-11-13,11:35:58,480.00
2024-11-13,11:41:02,492.00
2024-11-13,11:45:57,493.00
2024-11-13,11:51:03,470.00
2024-11-13,11:55:57,481.00
2024-11-13,12:01:02,494.00
2024-11-13,12:05:58,487.00
2024-11-13,12:11:04,489.00
2024-11-13,12:15:58,483.00
2024-11-13,12:21:02,473.00
2024-11-13,12:25:58,489.00
2024-11-13,12:31:05,492.00
2024-11-13,12:35:58,471.00
2024-11-13,12:41:02,476.00
2024-11-13,12:45:58,468.00
2024-11-13,12:51:04,436.00
2024-11-13,12:55:57,463.00
2024-11-13,13:01:01,482.00
2024-11-13,13:05:57,475.00
2024-11-13,13:11:03,483.00
2024-11-13,13:15:58,470.00
